FLU GAS TEMP,STEAM PRESSURE,TURBINE SPEED,GENERATOR VOLTAGE,AIR QUALITY,HEALTHINESS,ERROR TYPE
456,2458,3515,18049,65,1,0
550,2925,3074,17694,150,1,0
503,2895,2907,19449,238,0,2
594,2892,2933,18914,302,0,2
305,2517,2948,19497,74,0,1
504,2185,2877,16707,162,0,2
367,2306,3517,19974,100,0,1
476,3056,3462,17133,207,0,2
669,2533,3389,18098,348,1,0
578,1950,3593,18420,219,0,2
393,2221,3059,18560,184,0,1
742,2267,3339,17120,392,0,1
364,2087,2852,18459,157,0,1
486,1915,3399,16570,352,0,2
756,1995,3319,17816,253,0,1
456,2550,2852,16808,390,0,2
669,2337,3447,17803,61,1,0
500,1930,3308,19376,444,0,2
457,3033,3551,18676,438,0,2
571,2741,3114,19113,222,1,0
363,2820,2932,20000,290,0,1
309,3081,3294,19992,441,0,1
494,2911,3621,17577,115,0,2
570,2598,3088,17300,265,1,0
415,2380,3604,19993,42,0,2
417,1936,3315,17241,118,0,2
586,3084,3014,16956,109,0,2
329,2333,3346,17105,411,0,1
617,2070,2873,18154,133,0,2
523,2737,3269,19299,401,0,0
690,2252,3215,18481,176,1,0
516,2349,3199,18081,235,1,0
791,2331,2860,18926,377,0,1
687,1967,3187,16662,325,0,2
760,2054,3053,16723,236,0,1
460,2883,3182,19372,111,1,0
742,2761,3140,19300,222,0,1
680,2393,3440,18472,353,1,0
698,2855,3023,18000,277,1,0
764,1956,3341,18171,274,0,1
477,2042,2927,17253,269,0,2
711,2221,3523,19299,58,0,1
329,2049,3305,17112,291,0,1
786,1923,3454,17235,412,0,1
476,3079,3642,17780,81,0,2
532,2075,3084,16784,414,0,3
587,2231,3263,16607,104,0,3
572,2732,3221,16774,180,0,3
521,2239,3249,18406,117,1,0
758,2358,3370,16798,375,0,1
373,3037,3649,18140,416,0,1
749,3049,3578,19863,210,0,1
705,2237,3466,16888,145,0,1
489,2630,3373,19188,236,1,0
408,2279,3084,18882,69,1,0
646,2338,3585,18484,39,1,0
744,3086,3120,17589,213,0,1
670,3056,3106,18927,313,0,2
587,2413,3181,17692,334,1,0
755,2570,3417,19525,429,0,1
322,2143,3401,16533,327,0,1
541,2606,3410,18464,129,1,0
445,2680,2901,19519,105,0,2
540,2677,3618,19777,128,0,2
312,2108,2906,19158,234,0,1
695,2339,3218,18815,348,1,0
736,2787,3100,19395,62,0,1
350,2016,3351,17788,192,0,1
510,2480,2959,18090,109,0,2
537,2229,3616,17910,175,0,2
451,2688,3649,18235,46,0,2
497,2241,2867,18948,419,0,2
438,2587,2879,18336,363,0,2
448,2580,3646,18441,367,0,2
440,1994,3473,16887,35,0,2
786,2349,3643,18283,189,0,1
601,2009,3001,17634,224,1,0
679,2876,3425,18749,113,1,0
631,2715,3656,18028,408,0,2
613,2882,3058,19895,240,1,0
327,2949,3278,17569,314,0,1
753,2201,3067,19638,164,0,1
753,2079,3254,19101,271,0,1
502,2354,3326,19975,178,1,0
650,2615,2953,16776,416,0,2
408,2921,3663,16530,433,0,2
798,2245,3013,19306,407,0,1
641,2019,3038,18139,138,1,0
495,2544,3399,19562,152,1,0
736,2261,3234,19857,108,0,1
571,2681,3596,17509,314,1,0
607,1933,2890,19349,446,0,2
529,1994,3639,19590,401,0,2
306,2351,3270,19049,425,0,1
609,2961,3473,16549,166,0,3
326,2024,3534,18771,173,0,1
498,2447,3008,18177,227,1,0
432,2412,2850,19864,116,0,2
494,2307,3185,19949,189,1,0
353,2952,3189,16656,333,0,1
445,2282,3248,18081,100,1,0
702,2977,3271,18747,117,0,1
799,2845,3036,18368,175,0,1
630,2673,3241,18865,311,1,0
317,2822,3624,17498,425,0,1
380,2277,3683,19764,218,0,1
452,2465,3342,19843,276,1,0
670,2175,3243,19256,447,0,0
737,2116,3512,17475,377,0,1
768,2373,3691,17874,119,0,1
309,3076,2924,19806,193,0,1
716,1930,3384,17909,139,0,1
456,2937,3396,16997,447,0,3
326,2105,3669,17703,148,0,1
547,2454,3570,18614,389,1,0
621,2863,3512,18481,173,1,0
370,2462,3300,17981,282,0,1
566,3039,2989,19181,112,0,2
697,2840,3557,19543,340,1,0
435,2259,3343,16986,252,0,3
503,3100,3458,18183,409,0,2
515,2998,3429,19428,441,0,0
593,3013,3518,18225,183,0,2
701,1992,3500,19351,403,0,1
456,2701,3000,17681,296,1,0
623,2808,3347,18419,329,1,0
728,3100,3075,17641,404,0,1
367,2406,3128,19954,403,0,1
727,2591,3351,19949,237,0,1
471,2472,3451,16972,117,0,3
775,2076,3536,16976,84,0,1
724,2592,3282,18221,236,0,1
664,2644,2894,19921,386,0,2
601,2004,3434,17249,432,0,0
337,2124,3494,18113,268,0,1
655,2580,3493,18369,63,1,0
615,2451,3389,18070,125,1,0
775,2131,3079,17887,82,0,1
401,2502,3275,19275,330,1,0
571,3095,3600,19993,326,0,2
535,3042,2918,17729,79,0,2
706,2138,3361,18701,359,0,1
624,2372,3564,19672,168,1,0
662,2982,3188,16503,83,0,3
550,2036,3215,17369,329,1,0
492,2432,3141,17617,181,1,0
482,2143,3669,18083,337,0,2
537,2029,3353,19502,316,1,0
498,2472,3366,17408,139,1,0
439,2969,3028,18079,403,0,0
311,1937,2898,19522,144,0,1
723,2528,3037,18305,440,0,1
360,2637,3264,19722,362,0,1
421,3009,3371,18598,198,0,2
601,2369,3032,19439,353,1,0
423,3009,3198,18396,207,0,2
440,2713,3094,17733,59,1,0
366,2482,2982,18165,284,0,1
585,2256,3676,17898,78,0,2
419,2546,3242,17015,228,1,0
619,2305,3356,16860,357,0,3
349,2987,3068,19452,171,0,1
554,2642,3352,17588,134,1,0
450,2394,3502,19104,320,1,0
371,2400,3688,19487,101,0,1
463,2052,3510,19231,338,1,0
541,2792,3038,16853,35,0,3
674,2798,3632,18555,234,0,2
302,3040,2931,19809,445,0,1
593,1940,3263,17166,203,0,2
307,2208,3167,18639,292,0,1
615,2978,3119,18167,101,1,0
490,2095,3617,17640,309,0,2
518,2811,3475,18356,125,1,0
537,2837,3540,17847,368,1,0
591,2857,2880,19981,312,0,2
541,2338,3191,18338,403,0,0
674,2588,2898,18365,375,0,2
533,1900,3328,17770,89,0,2
602,2614,3196,19126,397,1,0
361,2316,3550,18087,353,0,1
605,2879,3544,19786,137,1,0
578,2148,3551,17721,414,0,0
526,2784,3586,16970,98,0,3
455,2398,3122,18049,72,1,0
325,2710,3685,18750,180,0,1
731,2084,3048,19698,279,0,1
591,2259,3143,18491,389,1,0
374,2093,2851,17409,30,0,1
441,3013,3293,19103,176,0,2
587,2792,3299,19736,328,1,0
370,2206,3543,16567,340,0,1
494,2730,3565,19691,383,1,0
597,2068,3463,19163,360,1,0
378,2729,3428,19283,298,0,1
774,1930,3336,18764,159,0,1
394,2288,3325,16878,34,0,1
399,2873,3257,19868,133,0,1
617,3059,3642,17747,313,0,2
770,2918,2906,16888,30,0,1
518,2700,3048,17042,163,1,0
629,2023,2864,16900,78,0,2
680,2569,3571,17105,271,1,0
654,2872,3102,17734,446,0,0
386,2026,3115,16650,409,0,1
466,2955,3433,18585,55,1,0
425,2984,3335,16937,326,0,3
760,2955,3699,19599,164,0,1
473,2462,3693,16944,120,0,2
668,2134,3267,17145,77,1,0
677,2398,3086,16648,174,0,3
701,2400,3614,19639,87,0,1
726,2138,3412,19640,144,0,1
771,2238,3683,19011,156,0,1
761,2273,3327,18933,407,0,1
447,2284,3233,19628,229,1,0
573,2928,3639,17737,407,0,2
422,2667,3338,19081,71,1,0
620,2332,3435,18069,363,1,0
555,2627,2878,18237,120,0,2
527,2275,3484,19262,242,1,0
310,2130,3296,18150,424,0,1
771,2995,3532,17230,246,0,1
536,2493,2971,17062,343,0,2
414,3084,2887,17828,99,0,2
778,2333,3598,18461,39,0,1
613,1962,3587,18482,95,0,2
647,2367,3076,16910,275,0,3
740,2529,3452,19038,38,0,1
678,2844,3428,16871,349,0,3
421,3093,3504,17126,447,0,2
318,2505,3051,19692,204,0,1
370,3071,3478,17503,362,0,1
774,2299,3335,16694,72,0,1
521,3090,3689,17445,100,0,2
553,2226,3236,19214,129,1,0
490,2451,3223,16722,177,0,3
526,2376,3163,18707,305,1,0
556,2764,3056,17721,264,1,0
498,2132,3182,19223,445,0,0
379,1952,3157,18487,435,0,1
554,2424,3040,16863,374,0,3
629,2933,2917,19352,266,0,2
662,2717,3549,18826,327,1,0
390,2004,3160,16880,197,0,1
720,2076,2878,19122,85,0,1
343,2366,3437,19356,308,0,1
657,2355,3524,17080,408,0,0
594,2995,2888,16892,226,0,2
577,2328,3566,18774,372,1,0
339,2729,3420,19117,77,0,1
710,2902,3235,18859,364,0,1
318,2714,3303,18539,303,0,1
379,2373,3516,17061,104,0,1
721,2527,3474,18598,290,0,1
792,2054,3637,19356,214,0,1
338,2612,3528,18749,60,0,1
652,2988,3524,17886,82,1,0
304,2941,2965,18236,219,0,1
396,2019,3680,17889,181,0,1
306,2487,3002,19413,148,0,1
674,2975,3646,17479,263,0,2
568,2187,2898,19990,121,0,2
774,3033,3117,19891,165,0,1
489,2898,2986,17699,156,0,2
745,2953,2898,16736,123,0,1
317,2065,3078,19158,372,0,1
737,2585,3370,17804,40,0,1
605,2759,2884,17436,216,0,2
332,2423,3120,19189,386,0,1
723,2236,3650,19815,108,0,1
364,2736,3694,17838,406,0,1
533,2601,3133,17529,333,1,0
524,2991,3105,19632,239,1,0
300,2381,3488,18672,144,0,1
590,2769,3323,17880,413,0,0
455,1963,2902,18387,125,0,2
709,2828,3233,19028,93,0,1
764,2984,3385,18201,260,0,1
627,2541,3245,18417,243,1,0
772,2721,3617,19265,363,0,1
356,2249,3204,19675,199,0,1
324,2949,3154,18660,36,0,1
368,3073,2973,18944,329,0,1
359,2455,3694,18862,314,0,1
683,1961,3240,18772,79,0,2
357,2621,3064,16804,402,0,1
789,2163,3324,18787,204,0,1
642,2554,2951,17246,278,0,2
726,2274,2999,19474,44,0,1
755,2361,3437,18771,443,0,1
538,2562,2881,17682,205,0,2
429,2002,3641,17062,360,0,2
308,3053,3559,18925,89,0,1
449,2637,3125,19305,317,1,0
694,2423,2977,18336,412,0,2
563,2505,2948,19708,278,0,2
355,2371,3520,16865,114,0,1
662,1939,3180,18243,192,0,2
669,2907,3395,17912,427,0,0
621,3049,3352,19366,236,0,2
350,2201,3164,18295,139,0,1
593,2183,3205,18311,233,1,0
664,2409,3568,16820,412,0,3
708,2205,3311,16617,52,0,1
702,2973,3392,18195,443,0,1
525,2824,3474,18742,357,1,0
448,2017,3478,17353,141,1,0
670,2514,3140,17119,225,1,0
702,2926,3066,18354,408,0,1
694,3038,2931,18694,392,0,2
724,2467,3624,17450,189,0,1
699,2504,3638,17618,184,0,2
566,2477,3471,17263,196,1,0
403,1948,3504,18685,360,0,2
787,2448,3472,18687,229,0,1
421,1990,2886,19194,238,0,2
315,1961,3018,17384,206,0,1
668,2599,3696,19269,404,0,2
540,1968,3182,19964,97,0,2
411,1956,3243,17937,209,0,2
338,2896,3590,18808,210,0,1
530,2853,3426,16993,137,0,3
747,1928,3543,16628,183,0,1
709,2443,3274,18517,331,0,1
521,2489,3510,17132,115,1,0
411,2115,3006,17042,277,1,0
407,2984,3555,18183,347,1,0
320,2413,3095,17797,177,0,1
748,1965,3213,19965,72,0,1
542,2885,3586,18742,342,1,0
498,2804,3538,19813,299,1,0
547,2421,3043,17819,170,1,0
511,2784,2921,17186,113,0,2
428,2485,3283,18618,413,0,0
616,2802,3680,19929,159,0,2
605,2873,3096,17063,345,1,0
550,2553,2865,17007,341,0,2
305,2840,2882,16601,102,0,1
668,2201,3040,16884,258,0,3
587,2555,3570,18329,412,0,0
626,2735,3545,19621,387,1,0
686,2476,3200,18048,335,1,0
407,2449,3493,19136,277,1,0
369,2238,2964,17799,171,0,1
331,2740,3566,18179,334,0,1
611,2714,3558,18426,186,1,0
371,2662,2911,17865,101,0,1
453,2108,3383,17257,324,1,0
535,2602,3680,18601,82,0,2
398,2879,2857,18734,283,0,1
531,1908,3081,18805,318,0,2
681,1934,3333,18335,343,0,2
640,2255,3488,19165,196,1,0
784,1908,3441,19794,331,0,1
631,2138,2884,18333,344,0,2
623,3030,3021,19203,151,0,2
599,1954,3336,19409,93,0,2
653,3056,3043,19670,436,0,2
739,2128,3138,19862,449,0,1
645,2038,3369,18647,119,1,0
682,2567,3178,18152,366,1,0
621,1992,3384,17629,450,0,2
445,2174,2950,19920,364,0,2
422,2218,2860,17689,448,0,2
503,2471,3660,16995,303,0,2
665,2013,2942,17576,123,0,2
391,2678,3430,18373,407,0,1
725,1968,3001,18970,251,0,1
563,2006,3467,19634,271,1,0
584,3074,3448,17243,211,0,2
493,2025,2905,18433,240,0,2
702,2124,2900,17253,32,0,1
660,2896,3499,17447,153,1,0
654,2911,3051,19466,359,1,0
708,3005,3258,18710,128,0,1
680,2287,3114,16516,133,0,3
592,2523,3476,16608,384,0,3
742,2944,3664,18859,106,0,1
710,2195,3365,18318,375,0,1
572,2614,2869,18260,63,0,2
409,1949,3336,19316,157,0,2
788,2274,3505,18090,278,0,1
606,2091,3372,17777,293,1,0
304,2219,3638,17028,66,0,1
501,2858,3236,19755,179,1,0
444,2817,2916,18667,321,0,2
372,1999,3015,17143,140,0,1
655,2285,3029,19590,74,1,0
417,2368,3677,18345,270,0,2
626,1951,3118,18577,187,0,2
743,2747,3078,19443,222,0,1
381,2784,3692,17964,402,0,1
369,2850,3068,18025,76,0,1
647,2671,2934,17809,396,0,2
310,2860,3550,19783,432,0,1
579,1980,3501,16543,142,0,2
681,2753,3427,17588,292,1,0
675,1902,3133,17473,191,0,2
528,2575,2931,16904,263,0,2
375,2783,3633,17651,408,0,1
351,1997,3292,19668,108,0,1
601,2208,3050,16984,360,0,3
556,3011,3534,19949,450,0,2
317,2247,3121,19506,197,0,1
480,2557,3643,16983,150,0,2
314,2431,3567,19656,429,0,1
503,2131,3228,17340,54,1,0
471,2733,3552,19916,295,1,0
750,2008,3059,18633,385,0,1
554,2428,3445,16575,62,0,3
416,2780,2920,16895,170,0,2
406,2052,3226,19414,33,1,0
774,2310,3667,19140,450,0,1
561,1905,3071,19523,83,0,2
317,2528,3278,19650,180,0,1
550,2337,3600,18492,246,1,0
747,2946,3523,16505,250,0,1
686,2949,2961,18775,250,0,2
505,3068,3409,16967,285,0,2
357,2186,2893,16964,320,0,1
326,1939,3599,16584,169,0,1
541,2330,3261,16661,88,0,3
372,2373,3475,17473,376,0,1
375,2706,3510,16900,159,0,1
573,1966,3445,16921,116,0,2
434,1996,3203,17214,138,0,2
468,1991,2940,17026,431,0,2
371,2002,3360,17482,63,0,1
506,3017,3477,16893,339,0,2
313,2225,3562,16686,444,0,1
623,2459,3374,17259,398,1,0
469,2612,2933,17964,50,0,2
581,2071,3625,17478,426,0,2
731,2840,3510,17563,72,0,1
498,2716,3676,18090,199,0,2
616,2891,3340,18617,432,0,0
621,2390,3137,18685,314,1,0
342,2559,3646,19490,289,0,1
785,2427,3090,18891,304,0,1
328,1936,3336,19277,243,0,1
740,2374,3351,19517,187,0,1
401,2201,3407,20009,254,0,3
470,3013,3010,18524,169,0,2
344,2391,3621,18088,430,0,1
634,2569,2875,18455,358,0,2
498,2849,3696,16982,108,0,2
351,2276,2928,18384,67,0,1
531,2858,3604,16933,380,0,2
305,2812,3220,18820,323,0,1
728,2612,2911,18850,435,0,1
752,1958,3475,17770,248,0,1
535,2343,3310,19823,268,1,0
723,2630,3484,17847,44,0,1
606,2643,3497,17170,303,1,0
776,2470,2946,18447,167,0,1
561,2346,3583,19086,317,1,0
800,2413,3017,17158,145,0,1
780,2450,2858,17557,366,0,1
505,2952,3504,18801,238,1,0
668,2144,3695,19791,341,0,2
556,1966,3084,17237,247,0,2
483,2230,3263,18989,163,1,0
627,2048,3083,16943,66,0,3
702,2556,3662,17063,31,0,1
380,2966,2943,19324,422,0,1
549,2624,3094,18399,392,1,0
487,3019,2889,18201,261,0,2
589,2462,3054,19361,257,1,0
786,3036,3245,19886,47,0,1
611,2083,3488,19945,210,1,0
469,1947,3432,19601,46,0,2
536,2059,3020,19188,42,1,0
781,1980,3389,17785,139,0,1
331,2990,3571,19570,122,0,1
426,3051,2870,18937,368,0,2
365,2553,3568,17188,337,0,1
757,2946,3444,18745,47,0,1
783,2694,3643,19302,406,0,1
497,2723,3340,19379,41,1,0
759,1909,3314,16870,435,0,1
520,2869,3407,19284,395,1,0
558,2926,3173,19829,295,1,0
547,2571,3175,18127,271,1,0
595,2376,3211,19225,300,1,0
515,2308,2968,16601,303,0,2
495,2569,2904,17978,286,0,2
742,2637,3329,19440,123,0,1
404,2408,3624,18484,430,0,2
319,2534,3279,19001,117,0,1
422,2264,2860,18497,178,0,2
739,2404,3650,17428,281,0,1
346,2115,2882,17505,355,0,1
712,1920,3527,18456,245,0,1
337,2867,3673,19573,307,0,1
564,2850,3388,17706,130,1,0
451,2070,2981,17209,215,0,2
519,1925,3304,17710,61,0,2
747,2243,3459,17970,189,0,1
501,2110,3114,19346,248,1,0
546,2420,3113,18351,332,1,0
381,2776,3687,18015,118,0,1
534,2074,3278,17890,408,0,0
369,2520,2897,16895,83,0,1
629,2808,3347,19659,142,1,0
478,2488,3144,18495,447,0,0
308,2823,2958,17835,371,0,1
344,2248,3656,17133,54,0,1
412,2103,3682,16687,154,0,2
789,2820,3477,18275,192,0,1
358,2974,2897,19361,149,0,1
362,2710,3470,17419,202,0,1
686,2035,2981,17452,448,0,2
583,3026,3567,19411,347,0,2
717,2377,3402,19896,338,0,1
724,2430,3091,18042,395,0,1
333,1914,3143,17483,182,0,1
726,3043,3230,19021,339,0,1
637,2456,3489,16601,196,0,3
437,2374,2965,16570,101,0,2
699,2679,3407,19572,185,1,0
522,2618,3441,16802,315,0,3
328,2227,2871,18465,450,0,1
446,2532,3208,17735,34,1,0
741,2838,3553,18143,343,0,1
414,2045,3023,16702,115,0,3
551,2295,2935,18779,354,0,2
777,2717,3173,19320,366,0,1
575,2218,2987,17074,123,0,2
449,1962,3089,18872,243,0,2
550,2459,3259,19428,86,1,0
703,2793,2875,18145,338,0,1
415,2850,2971,19076,255,0,2
691,2476,3152,18843,63,1,0
608,2021,3319,17543,257,1,0
758,3000,2872,17283,389,0,1
398,2073,3687,19482,441,0,1
348,2504,3690,19639,328,0,1
405,2651,3215,19148,181,1,0
779,2782,3290,17743,120,0,1
686,2022,3149,18889,45,1,0
724,2846,3407,19140,341,0,1
573,2841,3683,17529,72,0,2
410,2966,3591,18084,258,1,0
419,2288,3583,18395,56,1,0
750,2875,3412,19723,439,0,1
449,2796,2879,16787,138,0,2
591,2647,3431,17676,325,1,0
584,3044,3329,17710,427,0,2
791,3090,3138,16995,401,0,1
532,2988,3688,17191,193,0,2
377,2335,3006,16638,216,0,1
586,2005,3384,17097,317,1,0
423,2837,3050,16881,186,0,3
495,2117,3650,18443,174,0,2
568,2908,2903,19546,423,0,2
516,2402,2876,16927,279,0,2
717,3059,3072,18730,80,0,1
301,1938,2873,19998,178,0,1
774,2234,2948,17323,248,0,1
699,3051,3182,19657,281,0,2
568,2949,3191,17357,249,1,0
610,2888,3109,18891,74,1,0
470,2907,3655,18018,387,0,2
419,2646,3379,17280,184,1,0
707,1976,3023,18760,187,0,1
497,2858,3659,18291,373,0,2
589,1930,2986,17735,103,0,2
797,2977,3055,18976,32,0,1
674,2110,3236,17087,208,1,0
732,3017,2851,17032,395,0,1
319,2465,3376,18508,321,0,1
397,2226,2872,19812,346,0,1
575,2709,3648,18629,367,0,2
762,2762,3218,18022,216,0,1
458,2466,3561,18865,229,1,0
515,2909,3306,18712,400,1,0
710,2120,3000,18377,32,0,1
645,2204,3521,18985,160,1,0
700,2553,3070,18168,132,1,0
602,2297,3696,18905,107,0,2
475,2909,3337,17956,260,1,0
554,3070,3047,18416,59,0,2
774,2619,3684,17192,86,0,1
434,2483,3024,19884,61,1,0
716,2164,2996,18487,386,0,1
470,3031,3559,17141,406,0,2
445,2310,3022,17915,401,0,0
463,2743,3699,18953,254,0,2
464,2712,3119,19278,291,1,0
388,2860,3426,17268,217,0,1
322,2579,3615,17693,404,0,1
700,2418,3680,18855,291,0,2
727,2775,3012,16759,151,0,1
678,2843,3476,19992,259,1,0
370,2283,3382,18323,177,0,1
411,2449,3247,19630,433,0,0
697,2131,3142,19395,55,1,0
758,3073,3675,17313,292,0,1
366,2287,2966,18013,441,0,1
